label,n_trades,total_ret,ann_return,sharpe,max_drawdown,calmar,hit_rate,avg_win,avg_loss,profit_factor,split,strategy,entry_pct,hold_bars,cost_model,vpin_regime_pct
VPIN_CVD,1847,-0.935294264479317,-266.156288798229,-63.11855694843845,-0.6214922284498391,-428.2536073895743,0.44504602057390363,0.0037761695879107993,-0.003940786015358043,0.7684517236683277,val,VPIN_CVD,0.8,,maker,0.33
VPIN_CVD,1604,-1.4276884051227885,-467.8260758931033,-112.47358093069091,-0.7631514882431112,-613.0186248736917,0.4071072319201995,0.0036606597846340376,-0.004014825703984033,0.6260735214823012,val,VPIN_CVD,0.85,,taker,0.33
VPIN_CVD,1604,-0.7860884051227884,-257.5860758931032,-61.928203335553206,-0.5563982044187943,-462.9527447202566,0.45261845386533667,0.0036717144574030546,-0.003931381664233948,0.7722640113367042,val,VPIN_CVD,0.85,,maker,0.33
VPIN_CVD,2065,-2.0481157630092914,-521.3024915436724,-124.05367785899627,-0.8719153981166516,-597.881965004509,0.39322033898305087,0.0036471624484505356,-0.003998093911533222,0.591162769201496,val,VPIN_CVD,0.8,,taker,0.4
VPIN_CVD,2065,-1.2221157630092918,-311.06249154367254,-74.0231377097547,-0.7130353872499047,-436.2511273716789,0.43825665859564167,0.0036512227237380655,-0.003902131317234691,0.7300070177273407,val,VPIN_CVD,0.8,,maker,0.4
VPIN_CVD,1810,-1.7745918651188508,-515.3179471306453,-124.38882483247545,-0.8325530477504524,-618.9610962605059,0.40773480662983425,0.003516718643792121,-0.004076427447982683,0.5939084209454348,val,VPIN_CVD,0.85,,taker,0.4
VPIN_CVD,1810,-1.0505918651188506,-305.07794713064527,-73.64053112682345,-0.658104977601386,-463.57033834111326,0.44640883977900553,0.0035942829834237286,-0.003946878758208806,0.7343483447046779,val,VPIN_CVD,0.85,,maker,0.4
VPIN_CVD,2358,-2.38280384982804,-531.1287970609065,-125.08301797003726,-0.9078862580424778,-585.0168921006582,0.3922815945716709,0.003588185644760622,-0.00397897806785179,0.5821017452835523,val,VPIN_CVD,0.8,,taker,0.5
VPIN_CVD,2358,-1.4396038498280403,-320.8887970609067,-75.5706325683378,-0.7654693124153293,-419.2053056292849,0.4406276505513147,0.003572336831608973,-0.003905429733032422,0.7205337447935484,val,VPIN_CVD,0.8,,maker,0.5
VPIN_CVD,2089,-1.9779428346523011,-497.6576131609619,-116.36622648362986,-0.8629843472199302,-576.6704978649336,0.4054571565342269,0.003584956567474449,-0.004037359941467921,0.605547538780115,val,VPIN_CVD,0.85,,taker,0.5
VPIN_CVD,2089,-1.142342834652301,-287.41761316096193,-67.20625221834024,-0.6859818711888784,-418.9871849861529,0.45189085686931546,0.0035961108265776497,-0.003962507820909696,0.7482202239931433,val,VPIN_CVD,0.85,,maker,0.5
