split,feature,threshold,direction,ret_col,label,n_trades,avg_gross_pct,avg_net_pct,hit_rate,total_net_pct,ann_return_pct,sharpe,max_drawdown_pct,profit_factor,trades_per_year,cost_bps,bars_per_year,secondary_threshold
train,liquidation_proxy,3.0,reversal,fwd_ret_4h,train/maker/liq/ret=3.0/vol=1.0/fwd_ret_4h,34,0.0933781429803173,0.03337814298031731,0.5294117647058824,1.1348568613307888,7.003277188613653,0.4818905120768259,-3.6186197482874882,1.0972974228633736,209.81626187961987,6.000000000000001,35040,1.0
train,liquidation_proxy,3.0,reversal,fwd_ret_1h,train/taker/liq/ret=3.0/vol=1.5/fwd_ret_1h,39,0.11007293057679918,0.010072930576799175,0.5897435897435898,0.39284429249516783,2.424268263296474,0.3411647401634118,-1.9905273111059163,1.0614830697054596,240.67159450897572,10.0,35040,1.5
train,liquidation_proxy,3.0,reversal,fwd_ret_1h,train/maker/liq/ret=3.0/vol=1.5/fwd_ret_1h,39,0.11007293057679918,0.0500729305767992,0.6153846153846154,1.9528442924951688,12.051132043655508,1.6959432231967861,-1.7157162316089325,1.3383596523341155,240.67159450897572,6.000000000000001,35040,1.5
train,liquidation_proxy,3.0,reversal,fwd_ret_4h,train/taker/liq/ret=3.0/vol=1.5/fwd_ret_4h,33,0.07880476333338941,-0.02119523666661065,0.5151515151515151,-0.6994428099981516,-4.316308111540864,-0.2979362391800663,-4.041766216488918,0.9431522546868477,203.6451953537487,10.0,35040,1.5
train,liquidation_proxy,3.0,reversal,fwd_ret_4h,train/maker/liq/ret=3.0/vol=1.5/fwd_ret_4h,33,0.07880476333338941,0.01880476333338944,0.5151515151515151,0.6205571900018515,3.829499702609102,0.2643339423072918,-3.6186197482874882,1.053203727609942,203.6451953537487,6.000000000000001,35040,1.5
train,liquidation_proxy,3.0,reversal,fwd_ret_1h,train/taker/liq/ret=3.0/vol=2.0/fwd_ret_1h,33,0.07020384421855633,-0.029796155781443668,0.5757575757575758,-0.983273140787641,-6.425175066824049,-1.0204988875873144,-2.7245547721342245,0.8203154477282164,215.63771897130076,10.0,35040,2.0
train,liquidation_proxy,3.0,reversal,fwd_ret_1h,train/maker/liq/ret=3.0/vol=2.0/fwd_ret_1h,33,0.07020384421855633,0.010203844218556354,0.6060606060606061,0.3367268592123596,2.200333692027987,0.3494750044445661,-2.099995464719806,1.0682427346611307,215.63771897130076,6.000000000000001,35040,2.0
train,liquidation_proxy,3.0,reversal,fwd_ret_4h,train/taker/liq/ret=3.0/vol=2.0/fwd_ret_4h,28,0.01504188959597284,-0.0849581104040272,0.5,-2.3788270913127616,-15.54438932720661,-1.098719238882248,-5.329231357149444,0.7971462993356636,182.96533730898247,10.0,35040,2.0
train,liquidation_proxy,3.0,reversal,fwd_ret_4h,train/maker/liq/ret=3.0/vol=2.0/fwd_ret_4h,28,0.01504188959597284,-0.04495811040402714,0.5,-1.25882709131276,-8.2257758348473,-0.5814199563736446,-4.987802386631445,0.8872706769010371,182.96533730898247,6.000000000000001,35040,2.0
val,liquidation_proxy,2.0,reversal,fwd_ret_1h,val/taker/liq/ret=2.0/vol=1.0/fwd_ret_1h,191,0.08147697102266499,-0.018523028977335074,0.518324607329843,-3.5378985346709997,-7.128246521847034,-0.3315709318833168,-18.243802293928013,0.9498472322910315,384.8315807619376,10.0,35040,1.0
val,liquidation_proxy,2.0,reversal,fwd_ret_1h,val/maker/liq/ret=2.0/vol=1.0/fwd_ret_1h,191,0.08147697102266499,0.02147697102266497,0.5497382198952879,4.102101465329009,8.265016708630489,0.3844478840220732,-15.644052065429658,1.0612481247296215,384.8315807619376,6.000000000000001,35040,1.0
val,liquidation_proxy,2.0,reversal,fwd_ret_4h,val/taker/liq/ret=2.0/vol=1.0/fwd_ret_4h,156,0.019487793674441353,-0.08051220632555874,0.4807692307692308,-12.559904186787163,-25.306009332040745,-1.0206084515576799,-20.61140248690879,0.845058516566454,314.3127047060851,10.0,35040,1.0
val,liquidation_proxy,2.0,reversal,fwd_ret_4h,val/maker/liq/ret=2.0/vol=1.0/fwd_ret_4h,156,0.019487793674441353,-0.040512206325558686,0.5064102564102564,-6.319904186787155,-12.733501143797321,-0.5135507031060951,-18.951748037308015,0.9188772127012653,314.3127047060851,6.000000000000001,35040,1.0
val,liquidation_proxy,2.0,reversal,fwd_ret_1h,val/taker/liq/ret=2.0/vol=1.5/fwd_ret_1h,162,0.049429707727560515,-0.050570292272439574,0.5123456790123457,-8.19238734813521,-16.506227085848018,-0.8183950502351778,-20.742261823710017,0.8723788689060564,326.4016548870884,10.0,35040,1.5
val,liquidation_proxy,2.0,reversal,fwd_ret_1h,val/maker/liq/ret=2.0/vol=1.5/fwd_ret_1h,162,0.049429707727560515,-0.01057029227243947,0.5493827160493827,-1.712387348135194,-3.4501608903644456,-0.17106238636509058,-18.59786619907173,0.9719949803037441,326.4016548870884,6.000000000000001,35040,1.5
val,liquidation_proxy,2.0,reversal,fwd_ret_4h,val/taker/liq/ret=2.0/vol=1.5/fwd_ret_4h,137,0.017550994016655115,-0.08244900598334497,0.48905109489051096,-11.295513819718261,-22.758483972568012,-0.9232029284423615,-19.909569328017497,0.8503621827749488,276.0310291329081,10.0,35040,1.5
val,liquidation_proxy,2.0,reversal,fwd_ret_4h,val/maker/liq/ret=2.0/vol=1.5/fwd_ret_4h,137,0.017550994016655115,-0.04244900598334499,0.5109489051094891,-5.815513819718262,-11.717242807251688,-0.4753125421694928,-17.701212106431075,0.9200552383689172,276.0310291329081,6.000000000000001,35040,1.5
val,liquidation_proxy,2.0,reversal,fwd_ret_1h,val/taker/liq/ret=2.0/vol=2.0/fwd_ret_1h,122,0.01667094273425119,-0.08332905726574888,0.4918032786885246,-10.166144986421363,-20.49477995767715,-1.1132347273410361,-16.49503702259566,0.8035059354091626,245.94997987696198,10.0,35040,2.0
val,liquidation_proxy,2.0,reversal,fwd_ret_1h,val/maker/liq/ret=2.0/vol=2.0/fwd_ret_1h,122,0.01667094273425119,-0.04332905726574887,0.5327868852459017,-5.2861449864213625,-10.656780762598668,-0.5788546376727881,-14.739944102793512,0.892865404511477,245.94997987696198,6.000000000000001,35040,2.0
val,liquidation_proxy,2.0,reversal,fwd_ret_4h,val/taker/liq/ret=2.0/vol=2.0/fwd_ret_4h,105,-0.13417161854164136,-0.23417161854164145,0.45714285714285713,-24.588019946872354,-49.569041074980284,-2.3154239980755498,-20.953126751163854,0.6333204524901463,211.67826136951646,10.0,35040,2.0
val,liquidation_proxy,2.0,reversal,fwd_ret_4h,val/maker/liq/ret=2.0/vol=2.0/fwd_ret_4h,105,-0.13417161854164136,-0.19417161854164142,0.4857142857142857,-20.388019946872348,-41.101910620199625,-1.9199150952468642,-17.595420751222267,0.6855367188624617,211.67826136951646,6.000000000000001,35040,2.0
val,liquidation_proxy,2.5,reversal,fwd_ret_1h,val/taker/liq/ret=2.5/vol=1.0/fwd_ret_1h,141,0.10663510602638696,0.006635106026386896,0.524822695035461,0.9355499497205523,1.8860532074398577,0.09157140732170926,-13.797626712476207,1.0164233013586041,284.2536652676364,10.0,35040,1.0
val,liquidation_proxy,2.5,reversal,fwd_ret_1h,val/maker/liq/ret=2.5/vol=1.0/fwd_ret_1h,141,0.10663510602638696,0.04663510602638692,0.5531914893617021,6.575549949720556,13.25619981814532,0.643613270451206,-11.768406966158885,1.1209533295383167,284.2536652676364,6.000000000000001,35040,1.0
val,liquidation_proxy,2.5,reversal,fwd_ret_4h,val/taker/liq/ret=2.5/vol=1.0/fwd_ret_4h,118,0.06740130480020794,-0.03259869519979215,0.5084745762711864,-3.8466460335754737,-7.754774709440028,-0.3276442624903696,-15.863290959780185,0.9408813053223192,237.8860461105042,10.0,35040,1.0
